Year,Month,Agency,Criminality,Length of Stay
2018,Oct,CBP,Convicted Criminal,27.4
2018,Oct,CBP,Pending Criminal Charges,37.6
2018,Oct,CBP,Other Immigration Violator,24.4
2018,Oct,ICE,Convicted Criminal,54.9
2018,Oct,ICE,Pending Criminal Charges,50.3
2018,Oct,ICE,Other Immigration Violator,50.3
2018,Oct,Overall Average,Convicted Criminal,43.7
2018,Oct,Overall Average,Pending Criminal Charges,48.1
2018,Oct,Overall Average,Other Immigration Violator,25.8
2018,Nov,CBP,Convicted Criminal,29.0
2018,Nov,CBP,Pending Criminal Charges,38.0
2018,Nov,CBP,Other Immigration Violator,21.4
2018,Nov,ICE,Convicted Criminal,59.9
2018,Nov,ICE,Pending Criminal Charges,52.0
2018,Nov,ICE,Other Immigration Violator,57.9
2018,Nov,Overall Average,Convicted Criminal,46.5
2018,Nov,Overall Average,Pending Criminal Charges,49.3
2018,Nov,Overall Average,Other Immigration Violator,23.0
2018,Dec,CBP,Convicted Criminal,28.4
2018,Dec,CBP,Pending Criminal Charges,31.0
2018,Dec,CBP,Other Immigration Violator,21.4
2018,Dec,ICE,Convicted Criminal,62.7
2018,Dec,ICE,Pending Criminal Charges,51.1
2018,Dec,ICE,Other Immigration Violator,51.3
2018,Dec,Overall Average,Convicted Criminal,48.7
2018,Dec,Overall Average,Pending Criminal Charges,47.0
2018,Dec,Overall Average,Other Immigration Violator,22.6
2019,Jan,CBP,Convicted Criminal,30.2
2019,Jan,CBP,Pending Criminal Charges,34.7
2019,Jan,CBP,Other Immigration Violator,25.1
2019,Jan,ICE,Convicted Criminal,57.1
2019,Jan,ICE,Pending Criminal Charges,51.4
2019,Jan,ICE,Other Immigration Violator,49.9
2019,Jan,Overall Average,Convicted Criminal,46.1
2019,Jan,Overall Average,Pending Criminal Charges,48.1
2019,Jan,Overall Average,Other Immigration Violator,26.4
2019,Feb,CBP,Convicted Criminal,29.1
2019,Feb,CBP,Pending Criminal Charges,34.2
2019,Feb,CBP,Other Immigration Violator,19.3
2019,Feb,ICE,Convicted Criminal,55.8
2019,Feb,ICE,Pending Criminal Charges,50.9
2019,Feb,ICE,Other Immigration Violator,46.4
2019,Feb,Overall Average,Convicted Criminal,44.3
2019,Feb,Overall Average,Pending Criminal Charges,47.1
2019,Feb,Overall Average,Other Immigration Violator,20.3
2019,Mar,CBP,Convicted Criminal,28.7
2019,Mar,CBP,Pending Criminal Charges,29.2
2019,Mar,CBP,Other Immigration Violator,17.3
2019,Mar,ICE,Convicted Criminal,53.8
2019,Mar,ICE,Pending Criminal Charges,51.9
2019,Mar,ICE,Other Immigration Violator,43.5
2019,Mar,Overall Average,Convicted Criminal,43.3
2019,Mar,Overall Average,Pending Criminal Charges,46.8
2019,Mar,Overall Average,Other Immigration Violator,18.2
2019,Apr,CBP,Convicted Criminal,29.6
2019,Apr,CBP,Pending Criminal Charges,30.8
2019,Apr,CBP,Other Immigration Violator,17.6
2019,Apr,ICE,Convicted Criminal,57.4
2019,Apr,ICE,Pending Criminal Charges,54.1
2019,Apr,ICE,Other Immigration Violator,41.1
2019,Apr,Overall Average,Convicted Criminal,46.0
2019,Apr,Overall Average,Pending Criminal Charges,48.1
2019,Apr,Overall Average,Other Immigration Violator,18.5
2019,May,CBP,Convicted Criminal,31.2
2019,May,CBP,Pending Criminal Charges,32.8
2019,May,CBP,Other Immigration Violator,18.4
2019,May,ICE,Convicted Criminal,55.1
2019,May,ICE,Pending Criminal Charges,51.1
2019,May,ICE,Other Immigration Violator,42.8
2019,May,Overall Average,Convicted Criminal,44.9
2019,May,Overall Average,Pending Criminal Charges,46.4
2019,May,Overall Average,Other Immigration Violator,19.4
2019,Jun,CBP,Convicted Criminal,33.1
2019,Jun,CBP,Pending Criminal Charges,37.7
2019,Jun,CBP,Other Immigration Violator,28.8
2019,Jun,ICE,Convicted Criminal,53.9
2019,Jun,ICE,Pending Criminal Charges,50.2
2019,Jun,ICE,Other Immigration Violator,54.1
2019,Jun,Overall Average,Convicted Criminal,44.7
2019,Jun,Overall Average,Pending Criminal Charges,49.6
2019,Jun,Overall Average,Other Immigration Violator,30.0
2019,Jul,CBP,Convicted Criminal,37.2
2019,Jul,CBP,Pending Criminal Charges,41.4
2019,Jul,CBP,Other Immigration Violator,46.4
2019,Jul,ICE,Convicted Criminal,52.5
2019,Jul,ICE,Pending Criminal Charges,52.1
2019,Jul,ICE,Other Immigration Violator,55.4
2019,Jul,Overall Average,Convicted Criminal,47.1
2019,Jul,Overall Average,Pending Criminal Charges,49.6
2019,Jul,Overall Average,Other Immigration Violator,47.0
2019,Aug,CBP,Convicted Criminal,37.9
2019,Aug,CBP,Pending Criminal Charges,44.4
2019,Aug,CBP,Other Immigration Violator,52.4
2019,Aug,ICE,Convicted Criminal,57.0
2019,Aug,ICE,Pending Criminal Charges,55.1
2019,Aug,ICE,Other Immigration Violator,50.2
2019,Aug,Overall Average,Convicted Criminal,50.1
2019,Aug,Overall Average,Pending Criminal Charges,52.8
2019,Aug,Overall Average,Other Immigration Violator,52.3
2019,Sep,CBP,Convicted Criminal,37.4
2019,Sep,CBP,Pending Criminal Charges,46.1
2019,Sep,CBP,Other Immigration Violator,60.9
2019,Sep,ICE,Convicted Criminal,55.9
2019,Sep,ICE,Pending Criminal Charges,50.1
2019,Sep,ICE,Other Immigration Violator,46.5
2019,Sep,Overall Average,Convicted Criminal,49.5
2019,Sep,Overall Average,Pending Criminal Charges,49.1
2019,Sep,Overall Average,Other Immigration Violator,59.6
2019,Oct,CBP,Convicted Criminal,37.8
2019,Oct,CBP,Pending Criminal Charges,65.0
2019,Oct,CBP,Other Immigration Violator,65.3
2019,Oct,ICE,Convicted Criminal,52.7
2019,Oct,ICE,Pending Criminal Charges,46.5
2019,Oct,ICE,Other Immigration Violator,45.4
2019,Oct,Overall Average,Convicted Criminal,47.1
2019,Oct,Overall Average,Pending Criminal Charges,52.0
2019,Oct,Overall Average,Other Immigration Violator,63.5
2019,Nov,CBP,Convicted Criminal,37.8
2019,Nov,CBP,Pending Criminal Charges,61.2
2019,Nov,CBP,Other Immigration Violator,63.3
2019,Nov,ICE,Convicted Criminal,55.6
2019,Nov,ICE,Pending Criminal Charges,52.0
2019,Nov,ICE,Other Immigration Violator,49.7
2019,Nov,Overall Average,Convicted Criminal,49.0
2019,Nov,Overall Average,Pending Criminal Charges,53.8
2019,Nov,Overall Average,Other Immigration Violator,62.1
2019,Dec,CBP,Convicted Criminal,33.2
2019,Dec,CBP,Pending Criminal Charges,60.6
2019,Dec,CBP,Other Immigration Violator,58.7
2019,Dec,ICE,Convicted Criminal,61.2
2019,Dec,ICE,Pending Criminal Charges,53.9
2019,Dec,ICE,Other Immigration Violator,50.2
2019,Dec,Overall Average,Convicted Criminal,50.9
2019,Dec,Overall Average,Pending Criminal Charges,55.0
2019,Dec,Overall Average,Other Immigration Violator,57.9
2020,Jan,CBP,Convicted Criminal,33.9
2020,Jan,CBP,Pending Criminal Charges,60.7
2020,Jan,CBP,Other Immigration Violator,73.3
2020,Jan,ICE,Convicted Criminal,52.6
2020,Jan,ICE,Pending Criminal Charges,51.0
2020,Jan,ICE,Other Immigration Violator,54.7
2020,Jan,Overall Average,Convicted Criminal,46.3
2020,Jan,Overall Average,Pending Criminal Charges,52.5
2020,Jan,Overall Average,Other Immigration Violator,70.9
2020,Feb,CBP,Convicted Criminal,28.7
2020,Feb,CBP,Pending Criminal Charges,58.0
2020,Feb,CBP,Other Immigration Violator,74.2
2020,Feb,ICE,Convicted Criminal,52.9
2020,Feb,ICE,Pending Criminal Charges,52.7
2020,Feb,ICE,Other Immigration Violator,50.5
2020,Feb,Overall Average,Convicted Criminal,44.1
2020,Feb,Overall Average,Pending Criminal Charges,53.6
2020,Feb,Overall Average,Other Immigration Violator,70.9
2020,Mar,CBP,Convicted Criminal,24.8
2020,Mar,CBP,Pending Criminal Charges,51.9
2020,Mar,CBP,Other Immigration Violator,70.2
2020,Mar,ICE,Convicted Criminal,49.0
2020,Mar,ICE,Pending Criminal Charges,47.9
2020,Mar,ICE,Other Immigration Violator,42.2
2020,Mar,Overall Average,Convicted Criminal,40.6
2020,Mar,Overall Average,Pending Criminal Charges,48.4
2020,Mar,Overall Average,Other Immigration Violator,65.6
2020,Apr,CBP,Convicted Criminal,31.4
2020,Apr,CBP,Pending Criminal Charges,86.8
2020,Apr,CBP,Other Immigration Violator,122.0
2020,Apr,ICE,Convicted Criminal,64.3
